_id,_name,_industry,_sector,_headquarters,_founded
1579,Magyar Telekom,Telecommunications,Fixed line telecommunications,Budapest,1991
1580,MAL Hungarian Aluminium,Basic materials,Aluminum,Ajka,1995
1581,Mal�v,Consumer services,Airlines,Budapest,1956
1582,Match,Consumer services,Food retailers & wholesalers,Budapest,1952
1583,MKB Bank,Financials,Banks,Budapest,1950
1584,MOL Group,Oil & gas,Exploration & production,Budapest,1957
1585,MTVA,Consumer services,Broadcasting & entertainment,Budapest,2011
1586,MVK Zrt.,Consumer services,Travel & tourism,Miskolc,1954
1587,MVM Group,Utilities,Conventional electricity,Budapest,1948
1588,NeocoreGames,Technology,Software,Budapest,2005
1589,Oncotherm,Health care,Medical equipment,Budapest,1988
1590,Organica Technologies,Utilities,Water,Budapest,1998
1591,Orion Electronics,Industrials,Electronic equipment,Budapest,1913
1592,OTP Bank,Financials,Banks,Budapest,1949
1593,Pannon,Telecommunications,Mobile telecommunications,T�r�kb�lint,1994
1594,Pannonia Film Studio,Consumer services,Broadcasting & entertainment,Budapest,1956
1595,Panrusg�z,Oil & gas,Exploration & production,Budapest,1994
1596,P�cs Brewery,Consumer goods,Brewers,P�cs,1848
1597,Pick Szeged,Consumer goods,Food products,Szeged,1869
1598,Prezi,Technology,Software,Budapest,2009
1599,Puli Space Technologies,Industrials,Aerospace,Budapest,2010
1600,R�ba,Consumer goods,Automobiles,Gy?r,1896
1601,Scarab Research,Technology,Software,Budapest,2009
1602,State Printing Company,Consumer services,Publishing,Budapest,1851
1603,Szerencsej�t�k Zrt.,Consumer services,Gambling,Budapest,1991
1604,Takar�kbank,Financials,Banks,Budapest,1989
1605,ThalesNano,Industrials,Electronic equipment,Budapest,2002
1606,Tisza Cip?,Consumer goods,Clothing & accessories,Martf?,1942
1607,T�rley,Consumer goods,Distillers & vintners,Budapest,1882
1608,Travel Service,Consumer services,Airlines,Budapest,2001
1609,TriGr�nit,Financials,Real estate holding & development,Budapest,1997
1610,Tungsram,Industrials,Electrical components & equipment,�jpest,1896
1611,Turner Broadcasting System Hungary,Consumer services,Broadcasting & entertainment,Budapest,?
1612,UPC Magyarorsz�g,Telecommunications,Fixed line telecommunications,Budapest,1998
1613,Videoton,Consumer goods,Consumer electronics,Sz�kesfeh�rv�r,1938
1614,VirusBuster,Technology,Computer services,Budapest,1997
1615,Vodafone Hungary,Telecommunications,Mobile telecommunications,Budapest,1999
1616,Wizz Air,Consumer services,Airlines,Budapest,2003
1617,Zen Studios,Technology,Software,Budapest,2003
1618,Zsolnay,Consumer goods,Durable household products,P�cs,1853
1619,Zwack,Consumer goods,Distillers & vintners,Budapest,1790
1620,Abrakebabra,Consumer services,Food Retailers & Wholesalers,Dublin,1982
1621,Abrakebabra Investments,Consumer services,Food Retailers & Wholesalers,Dublin,1982
1622,Accenture,Industrials,Business support services,Dublin,1989
1623,Aer Lingus,Consumer services,Airlines,Dublin,1936
1624,Aer Lingus Regional,Consumer services,Airlines,Dublin,2010
1625,AerCap,Industrials,Transport,Dublin,2006
1626,Aircoach,Consumer services,Travel & tourism,Dublin,1999
1627,Airtricity,Utilities,Alternative electricity,Dublin,1997
1628,Allied Irish Banks (AIB),Financials,Banks,Dublin,1966
1629,An Post,Industrials,Delivery services,Dublin,1984
1630,Apache Pizza,Consumer services,Food Retailers & Wholesalers,Dublin,2006
1631,Aptiv,Industrials,Automotive,Dublin,1994
1632,Arnotts,Consumer services,Broadline retailers,Dublin,1843
1633,Baltimore Technologies,Technology,Internet,Dublin,1976
1634,Bank of Ireland,Financials,Banks,Dublin,1783
1635,Barry's Tea,Consumer goods,Beverages,Cork,1901
1636,Bewley's,Consumer services,Food Retailers & Wholesalers,Dublin,1840
1637,Bord na M�na,Utilities,Multiutilities,Newbridge,1946
1638,Boylesports,Consumer services,Gambling,Dundalk,1989
1639,BT Ireland,Telecommunications,Fixed line telecommunications,Dublin[2],1990
1640,Bus �ireann,Consumer services,Travel & tourism,Dublin,1987
1641,Butlers Chocolates,Consumer goods,Food products,Dublin,1932
1642,BWG Foods,Consumer services,Food retailers & wholesalers,Dublin,1963[3]
1643,C&C Group,Consumer goods,Brewers,Dublin,1852
1644,Central Bank of Ireland,Financials,Banks,Dublin,1943
1645,CI�,Consumer services,Travel & tourism,Dublin,1945
1646,CityJet,Consumer services,Airlines,Dublin,1992
1647,Communicorp,Consumer services,Broadcasting & Entertainment,Dublin,1989
1648,Covidien,Health care,Medical equipment,Dublin,2007
1649,CRH plc,Industrials,Building materials & fixtures,Dublin,1936
1650,C�ram Software,Technology,Software,Dublin,1990
1651,DAA,Consumer services,Transportation services,Dublin,1937
1652,DCC Plc,Industrials,Business support services,Dublin,1976
1653,Dealz,Consumer services,Broadline retailers,Dublin,2011
1654,Digiweb,Telecommunications,Fixed line telecommunications,Dundalk,1997
1655,Doolittles,Consumer services,Food Retailers & Wholesalers,Laghey,2001
1656,Dublin Bus,Consumer services,Travel & tourism,Dublin,1987
1657,Dunnes Stores,Consumer services,Broadline retailers,Dublin,1944
1658,Eaton Corporation,Conglomerate,-,Dublin,1911
1659,Eason & Son,Consumer services,Specialty retailers,Dublin,1819
1660,EBS,Financials,Banks,Dublin,1935
1661,Eddie Rocket's,Consumer services,Food Retailers & Wholesalers,Dublin,1989
1662,EDUN,Consumer goods,Clothing & accessories,Dublin,2005
1663,Eir,Telecommunications,Fixed line telecommunications,Dublin,1999
1664,Eir Sport,Consumer services,Broadcasting & Entertainment,Dublin,1990
1665,Energia Group,Utilities,Conventional electricity,Belfast,1998
1666,EQTEC,Utilities,Alternative electricity,Cork,2005
1667,Ervia,Utilities,Gas distribution,Cork,1976
1668,ESB Group,Utilities,Conventional electricity,Dublin,1927
1669,Experian,Financials,Business services,Dublin,1996
1670,FBD Holdings,Financials,Full line insurance,Dublin,1969
1671,FINEOS,Technology,Software,Dublin,1993
1672,First Trust Bank,Financials,Banks,Belfast,1991
1673,Four Star Pizza,Consumer services,Food Retailers & Wholesalers,Dublin,1986
1674,Fyffes,Consumer goods,Food products,Dublin,1888
1675,Glanbia,Consumer goods,Food products,Kilkenny,1997
1676,GlenDimplex,Consumer goods,Consumer electronics,Dublin,1973
1677,GoCar,Consumer services,Specialized consumer services,Dublin,2008
1678,Greencore,Consumer goods,Food products,Dublin,1991
1679,Guineys,Consumer services,Apparel retailers,Dublin,1971
1680,Guinness,Consumer goods,Brewers,Dublin,1759
1681,Havok,Technology,Software,Dublin,1998
1682,Heatons,Consumer services,Broadline retailers,Dublin,1946
1683,Horizon Therapeutics,Consumer services,Biopharmaceutical,Dublin,2005
1684,Iarnr�d �ireann,Consumer services,Travel & tourism,Dublin,1987
1685,Independent News & Media,Consumer services,Publishing,Dublin,1904
1686,Insomnia Coffee Company,Consumer services,Food Retailers & Wholesalers,Dublin,1997
1687,Intel Ireland,Technology,Semiconductors,Leixlip,1989
1688,IONA Technologies,Technology,Software,Dublin,1991
1689,Irish Citylink,Consumer services,Travel & tourism,Dublin,1994
1690,Irish Continental Group,Industrials,Industrial transportation,Dublin,1972
1691,Irish Ferries,Industrials,Industrial transportation,Dublin,1992
1692,Johnson Controls,Industrials,Electrical components & equipment,Cork,1885
1693,KBC Bank Ireland,Financials,Banks,Dublin,1973
1694,Kerry Group,Consumer goods,Food products,Tralee,1972
1695,Kingspan Group,Industrials,Building materials,Dublin,1966
1696,Laya Healthcare,Financials,Life insurance,Little Island,1997
1697,Magnet Networks,Telecommunications,Fixed line telecommunications,Dublin,2004
1698,Mannok,Industrials,Building materials & fixtures,Derrylin,1973
1699,Medtronic,Health care,Medical equipment,Dublin,1949
1700,Meteor,Telecommunications,Mobile telecommunications,Dublin,1998
1701,Metro,Consumer services,Travel & tourism,Belfast,1973
1702,Musgrave Group,Consumer services,Food retailers & wholesalers,Cork,1876
1703,National Lottery,Consumer services,Gambling,Dublin,1987
1704,NI Railways,Consumer services,Travel & tourism,Belfast[4],1967
1705,Norkom,Technology,Software,Dublin,1998
1706,Northern Ireland Electricity,Utilities,Conventional electricity,Belfast,1991
1707,Northern Ireland Transport Holding Company,Consumer services,Travel & tourism,Belfast[5],1967
1708,NTR plc,Utilities,Alternative electricity,Dublin,1978
1709,Oatfield,Consumer goods,Food products,Letterkenny,1927
1710,O'Briens Irish Sandwich Bars,Consumer services,Food Retailers & Wholesalers,Dublin,1988
1711,Openet,Technology,Software,Dublin,1999
1712,Paddy Power,Consumer services,Gambling,Dublin,1988
1713,Pat the Baker,Consumer goods,Baked goods,Granard,1953[6]
1714,Permanent TSB,Financials,Life insurance,Dublin,1884
1715,Penneys,Consumer services,Apparel retailers,Dublin,1962
1716,Rabobank Ireland,Financials,Banks,Dublin,1994
1717,Raidi� Teilif�s �ireann (RT�),Consumer services,Broadcasting & Entertainment,Dublin,1960
1718,Ryanair,Consumer services,Airlines,Dublin,1985
1719,Shire,Health care,Pharmaceuticals,Dublin,1986
1720,Smart Telecom,Telecommunications,Mobile telecommunications,Dublin,1989
1721,Smurfit Kappa,Consumer goods,Paper,Dublin,1934
1722,Smyths,Consumer services,Specialty retailers,Galway,1986
1723,Stobart Air,Consumer services,Airlines,Dublin,2014
1724,Supermac's,Consumer services,Food Retailers & Wholesalers,Ballybrit[7],1978
1725,SuperValu,Consumer services,Food retailers & wholesalers,Cork,1968
1726,Teilif�s na Gaeilge,Consumer services,Broadcasting & Entertainment,Baile na hAbhann,2007
1727,Tesco Ireland,Consumer services,Food retailers & wholesalers,Dublin,1997
1728,The Airporter,Consumer services,Travel & tourism,Derry,1990
1729,The Irish Times,Consumer services,Publishing,Dublin,1859
1730,Thomas Crosbie Holdings,Consumer services,Publishing,Cork,1841
1731,Three Ireland,Telecommunications,Fixed line telecommunications,Dublin,2005
1732,Tipperary Natural Mineral Water,Consumer goods,Beverages,Borrisoleigh,1986
1733,Today FM,Consumer services,Broadcasting & Entertainment,Dublin,1997
1734,Trane Technologies,Conglomerate,-,Swords,1871
1735,Transport Infrastructure Ireland,Industrials,Heavy construction,Dublin,2015
1736,Virgin Media Television,Consumer services,Broadcasting & Entertainment,Dublin,1998
1737,UDG Healthcare,Health care,Pharmaceuticals,Dublin,1948
1738,Ulster Bank,Financials,Banks,Dublin,1836
1739,Ulsterbus Foyle,Consumer services,Travel & tourism,Derry,2006
1740,Ulsterbus,Consumer services,Travel & tourism,Belfast,1967
1741,Vhi Healthcare,Financials,Life insurance,Purcellsinch,1957
1742,Virgin Media Ireland,Telecommunications,Fixed line telecommunications,Dublin,2005
1743,Vizor,Technology,Software,Dublin,2000
1744,Vodafone Ireland,Telecommunications,Mobile telecommunications,Dublin,1984
1745,Wireless Group,Consumer services,Broadcasting & Entertainment,Belfast,2007
1746,Wrightbus,Industrials,Commercial vehicles & trucks,Ballymena,1946
1747,A&G Management Consulting,Industrials,Business support services,Turin,1988
1748,A2A,Utilities,Multiutilities,Brescia,2008
1749,Abarth,Consumer goods,Automobiles,Turin,1949
1750,Abon Plastic,Industrials,Containers & packaging,Gornate-Olona,1973
1751,Aermacchi,Industrials,Aerospace,Varese,1912
1752,Agip,Oil & gas,Oil & gas refining & marketing,Rome,1926
1753,AgustaWestland,Industrials,Aerospace & defense,Rome,2000
1754,AGV,Consumer goods,Auto parts,Alessandria,1946
1755,Air Dolomiti,Consumer services,Airlines,Villafranca di Verona,1991
1756,Air One,Consumer services,Airlines,Fiumicino,1983
1757,ALAN,Consumer goods,Recreational products,Veggiano,1972
1758,Alenia Aermacchi,Industrials,Aerospace,Venegono Superiore,2012
1759,Alenia Aeronautica,Industrials,Aerospace,Rome,1990
1760,Alessi,Consumer goods,Durable household products,Omegna,1921
1761,Alfa Romeo,Consumer goods,Automobiles,Turin,1910
1762,Alitalia,Consumer services,Airlines,Fiumicino,1999
1763,Alleanza Assicurazioni,Financials,Life insurance,Milan,1898
1764,Alpinestars,Consumer goods,Clothing & accessories,Asolo,1963
1765,Andrea Moda,Consumer goods,Clothing & accessories,Morrovalle,1985
1766,Angelini,Health care,Pharmaceuticals,Rome,1919
1767,Anonima Petroli Italiana,Oil & gas,Petroleum products,Rome,1933
1768,Ansaldo Energia,Utilities,Conventional electricity,Genoa,1853
1769,Ansaldo STS,Industrials,Railroads,Genoa,2006
1770,Aprilia,Consumer goods,Automobiles,Noale,1945
1771,Arflex,Consumer goods,Furnishings,Milan,1947
1772,Armani,Consumer goods,Clothing & accessories,Milan,1975
1773,Arnoldo Mondadori Editore,Consumer services,Publishing,Segrate,1907
1774,Artemide,Consumer goods,Furnishings,Pregnana Milanese,1960
1775,Assicurazioni Generali,Financials,Full line insurance,Trieste,1831
1776,Atala,Consumer goods,Recreational products,Monza,1921
1777,Autobianchi,Consumer goods,Automobiles,Milan,1995
1778,Autogrill,Consumer services,Food retailers & wholesalers,Rozzano,1947
1779,Avio,Industrials,Aerospace & defense,Rome,1908
1780,Azimut Yachts,Industrials,Shipbuilding,Turin,1969
1781,B Engineering,Consumer goods,Automobiles,Campogalliano,2000
1782,B&B Italia,Consumer goods,Furnishings,Novedrate,1966
1783,Baldinini,Consumer goods,Footwear,San Mauro Pascoli,1910
1784,Banca Carige,Financials,Banks,Genoa,1483
1785,Banca Monte dei Paschi di Siena,Financials,Banks,Siena,1472
1786,Banca Nazionale del Lavoro,Financials,Banks,Rome,1913
1787,Banca Popolare di Milano,Financials,Banks,Milan,1865
1788,Banco Popolare,Financials,Banks,Verona,2007
1789,Bandini Automobili,Consumer goods,Automobiles,Forl�,1946
1790,Barilla Group,Consumer goods,Food products,Parma,1877
1791,Basso Bikes,Consumer goods,Recreational products,San Zenone degli Ezzelini,1977
1792,Benelli Armi SpA,Industrials,Defense,Urbino,1967
1793,Benelli,Consumer goods,Automobiles,Pesaro,1911
1794,Benetti,Industrials,Shipbuilding,Viareggio,1873
1795,Benetton Group,Consumer goods,Clothing & accessories,Ponzano Veneto,1965
1796,Bennet,Consumer services,Food retailers & wholesalers,Montano Lucino,1964
1797,Beretta,Industrials,Defense,Brescia,1526
1798,Bertolli,Consumer goods,Food products,Lucca,1865
1799,Beta,Consumer goods,Automobiles,Rignano sull'Arno,1904
1800,Bettanin & Venturi,Consumer goods,Footwear,Vigasio,1994
1801,Bianchi,Consumer goods,Recreational products,Milan,1885
1802,Bimota,Consumer goods,Automobiles,Rimini,1973
1803,Birel,Consumer goods,Automobiles,Lissone,1958
1804,Birra Amarcord,Consumer goods,Brewers,Rimini,1997
1805,Birra Ichnusa,Consumer goods,Brewers,Assemini,1912
1806,Birra Menabrea,Consumer goods,Brewers,Biella,1846
1807,Birra Moretti,Consumer goods,Brewers,Udine,1859
1808,Birrificio Angelo Poretti,Consumer goods,Brewers,Induno Olona,1877
1809,Bizzarrini,Consumer goods,Automobiles,Livorno,1964
1810,Blue Panorama Airlines,Consumer services,Airlines,Fiumicino,1998
1811,Blufin,Consumer goods,Clothing & accessories,Carpi,1977
1812,Bompiani,Consumer services,Publishing,Milan,1929
1813,Bontempi,Consumer goods,Recreational products,Potenza Picena,1937
1814,Bontoni,Consumer goods,Footwear,Montegranaro,2004[6]
1815,Borrani,Consumer goods,Tires,Milan,1922
1816,Borsalino,Consumer goods,Clothing & accessories,Alessandria,1857
1817,Bottecchia,Consumer goods,Recreational products,Cavarzere,1924
1818,Bottega Veneta,Consumer goods,Clothing & accessories,Vicenza,1966
1819,B-P Battioni e Pagani S.p.A.,Industrials,Commercial vehicles & trucks,Parma,1959
1820,Braccialini,Consumer goods,Clothing & accessories,Florence,1954
1821,Bracco Group,Health care,Pharmaceuticals,Milan,1927
1822,Breda,Industrials,Industrial engineering,Brescia,1886
1823,Brembo,Consumer goods,Auto parts,Stezzano,1961
1824,Brioni,Consumer goods,Clothing & accessories,Rome,1945
1825,Brionvega,Consumer goods,Consumer electronics,Pordenone,1945
1826,Brondi,Consumer goods,Consumer electronics,Turin,1935
1827,Brunello Cucinelli,Consumer goods,Clothing & accessories,Perugia,1978
1828,Bruno Magli,Consumer goods,Footwear,Bologna,1936
1829,Buitoni,Consumer goods,Food products,Sansepolcro,1827
1830,Bulgari,Consumer goods,Clothing & accessories,Rome,1884
1831,Buzzi Unicem,Industrials,Building materials & fixtures,Casale Monferrato,1999
1832,C.A.I. Second,Consumer services,Airlines,Fiumicino,2006
1833,Cagiva,Consumer goods,Automobiles,Varese,1978
1834,Caltagirone Editore,Consumer services,Publishing,Rome,1999
1835,Calzaturificio fratelli soldini,Consumer goods,Footwear,Capolona,1945
1836,Cambiocasa,Financials,Real estate holding & development,Milan,1995
1837,Campagnolo,Consumer goods,Recreational products,Vicenza,1933
1838,Campari Group,Consumer goods,Beverages,Milan,1860
1839,Canali,Consumer goods,Clothing & accessories,Sovico,1934
1840,Candy,Consumer goods,Durable household products,Brugherio,1945
1841,Caraceni,Consumer goods,Clothing & accessories,Rome,1913
1842,Carpigiani,Consumer goods,Durable household products,Bologna,1944
1843,Carrera Sunglasses,Consumer goods,Clothing & accessories,Padua,1956
1844,Carrozzeria Boneschi,Industrials,Commercial vehicles & trucks,Milan,1919
1845,Carrozzeria Castagna,Industrials,Commercial vehicles & trucks,Milan,1849
1846,Carrozzeria Ghia,Industrials,Commercial vehicles & trucks,Turin,1916
1847,Carrozzeria Marazzi,Industrials,Commercial vehicles & trucks,Milan,1967
1848,Carrozzeria Scaglietti,Industrials,Commercial vehicles & trucks,Modena,1951
1849,Carrozzeria Touring,Industrials,Commercial vehicles & trucks,Milan,1926
1850,Casa Ricordi,Consumer services,Publishing,Milan,1808
1851,Cassina S.p.A.,Consumer goods,Furnishings,Meda,1927
1852,Castagnari,Consumer goods,Recreational products,Recanati,1914
1853,Chicco,Consumer goods,Toys,Como,1958
1854,Chiesi Farmaceutici S.p.A.,Health care,Pharmaceuticals,Parma,1935
1855,Cinelli,Consumer goods,Recreational products,Milan,1948
1856,Cinzano,Consumer goods,Distillers & vintners,Turin,1757
1857,Cirio,Consumer goods,Food products,San Lazzaro di Savena,1856
1858,Class Editori,Consumer services,Publishing,Milan,1986
1859,Colnago,Consumer goods,Recreational products,Cambiago,1952
1860,Colotti Trasmissioni,Consumer goods,Auto parts,Modena,1958
1861,Columbus,Consumer goods,Recreational products,Settala,1919
1862,Comau,Industrials,Industrial machinery,Turin,1973
1863,Comus S.p.A.,Consumer goods,Recreational products,Ancona,?
1864,COMVERT S.r.l.,Consumer goods,Clothing & accessories,Milan,1994
1865,Conad,Consumer services,Food retailers & wholesalers,Bologna,1962
1866,Coop,Consumer services,Food retailers & wholesalers,Casalecchio di Reno,1967
1867,Coppola Industria Alimentare,Consumer goods,Food products,Mercato San Severino,1952
1868,Corneliani,Consumer goods,Clothing & accessories,Mantua,1958
1869,Costa Crociere,Consumer services,Travel & tourism,Genoa,1854
1870,Crumar,Consumer goods,Recreational products,Castelfidardo,1971
1871,Dainese,Consumer goods,Auto parts,Molvena,1972
1872,Dallara,Consumer goods,Automobiles,Varano de' Melegari,1972
1873,Damiani,Consumer goods,Clothing & accessories,Valenza,1924
1874,Danieli,Industrials,Industrial machinery,Buttrio,1914
1875,Dario Pegoretti,Consumer goods,Recreational products,Caldonazzo,1956
1876,De Agostini,Consumer services,Publishing,Novara,1901
1877,De Cecco,Consumer goods,Food products,Fara San Martino,1886
1878,De Rosa,Consumer goods,Recreational products,Milan,1953
1879,De Tomaso,Consumer goods,Automobiles,Modena,1959
1880,Dell'Orto,Consumer goods,Auto parts,Cabiate,1933
1881,DeLonghi,Consumer goods,Durable household products,Treviso,1902
1882,Design42Day,Consumer services,Publishing,Milan,2007
1883,Di Blasi Industriale,Consumer goods,Recreational products,Francofonte,1952
1884,Diadora,Consumer goods,Footwear,Caerano di San Marco,1948
1885,Diesel,Consumer goods,Clothing & accessories,Breganze,1978
1886,Dolce & Gabbana,Consumer goods,Clothing & accessories,Milan,1985
1887,DR Motor Company,Consumer goods,Automobiles,Macchia d'Isernia,2006
1888,Ducati,Consumer goods,Automobiles,Bologna,1926
1889,Ducati Energia,Industrials,Electronic & electrical equipment,Bologna,1926
1890,Durst,Technology,Electronic & electrical equipment,Brixen,1936
1891,Edison,Utilities,Multiutilities,Milan,1884
1892,Edoardo Raffinerie Garrone (ERG),Utilities,Alternative electricity,Genoa,1938
1893,Eko guitars,Consumer goods,Recreational products,Recanati,1959
1894,Ellesse,Consumer goods,Clothing & accessories,Perugia,1959
1895,E. Marinella,Consumer goods,Clothing & accessories,Naples,1914
1896,Enel,Utilities,Multiutilities,Rome,1962
1897,Energica Motor Company,Consumer goods,Automobiles,Modena,2010
1898,Eni,Oil & gas,Integrated oil & gas,Rome,1953
1899,Ermenegildo Zegna,Consumer goods,Clothing & accessories,Milan,1910
1900,Erre�,Consumer goods,Clothing & accessories,Torrile,1988
1901,Esselunga,Consumer services,Food retailers & wholesalers,Milan,1957
1902,Etro,Consumer goods,Clothing & accessories,Milan,1968
1903,Eurofly,Consumer services,Airlines,Milan,1989
1904,Fabbrica Ligure Automobili Genova,Consumer goods,Automobiles,Genoa,1905
1905,Fratelli Fabbri Editori,Consumer services,Publishing,Milan,1947
1906,Fabbri Group,Consumer goods,Recreational products,Calto,1950
1907,Facchini Group,Consumer goods,Food products,Cormano,1959
1908,Faema,Consumer goods,Durable household products,Milan,1945
1909,Falck Group,Basic materials,Iron & steel,Sesto San Giovanni,1906
1910,FAMARS,Industrials,Defense,Gardone Val Trompia,1967
1911,Fantic Motor,Consumer goods,Automobiles,Barzago,1968
1912,Farfisa,Consumer goods,Recreational products,Osimo,1946
1913,Fazioli,Consumer goods,Recreational products,Sacile,1981
1914,Fedrigoni,Basic materials,Paper,Verona,1888
1915,Feltrinelli,Consumer services,Publishing,Milan,1954
1916,Fendi,Consumer goods,Clothing & accessories,Rome,1925
1917,Ferrari,Consumer goods,Automobiles,Maranello,1939
1918,Ferrero SpA,Consumer goods,Food products,Alba,1946
1919,Ferretti Group,Industrials,Shipbuilding,Forl�,1968
1920,Ferrovie dello Stato Italiane,Consumer services,Travel & tourism,Rome,1905
1921,Fiat,Consumer goods,Automobiles,Turin,1899
1922,Fincantieri,Industrials,Shipbuilding,Trieste,1959
1923,Fiocchi Munizioni,Industrials,Defense,Lecco,1876
1924,Fioravanti,Consumer goods,Automobiles,Turin,1987
1925,Fondiaria-Sai,Financials,Property & casualty insurance,Turin,2002
1926,Fondmetal,Consumer goods,Tires,Bergamo,1972
1927,Fornasari,Consumer goods,Automobiles,Vicenza,1999
1928,Forst,Consumer goods,Brewers,Algund,1857
1929,Franchi,Industrials,Defense,Brescia,1987
1930,Frera,Consumer goods,Automobiles,Milan,1905
1931,Frette,Consumer goods,Clothing & accessories,Monza,1860
1932,Fulcrum Wheels,Consumer goods,Recreational products,Arcugnano,2004
1933,Fulgor,Consumer goods,Durable household products,Gallarate,1949
1934,Furla,Consumer goods,Clothing & accessories,Bologna,1927
1935,Gaggia,Consumer goods,Durable household products,Milan,1947
1936,Gancia,Consumer goods,Distillers & vintners,Canelli,1850
1937,Gardaland,Consumer services,Recreational services,Castelnuovo del Garda,1975
1938,Garelli Motorcycles,Consumer goods,Automobiles,Milan,1919
1939,Garlando,Consumer goods,Recreational products,Novi Ligure,1954
1940,GDE Bertoni,Consumer goods,Recreational products,Milan,1938
1941,GEDI Gruppo Editoriale,Consumer services,Publishing,Rome,1955
1942,Geox,Consumer goods,Clothing & accessories,Montebelluna,1995
1943,Ghezzi & Brian,Consumer goods,Automobiles,Missaglia,1995
1944,Gilera,Consumer goods,Automobiles,Pontedera,1909
1945,Gio. Ansaldo & C.,Industrials,Aerospace,Genoa,1853
1946,Givova,Consumer goods,Clothing & accessories,Scafati,2008
1947,Golden Goose,Consumer goods,Clothing & accessories,Venice,2000
1948,Graziano Trasmissioni,Consumer goods,Auto parts,Turin,1951
1949,Grimaldi Group,Transport & tourism,Consumer services,Palermo,1947
1950,Grivel,Consumer goods,Recreational products,Courmayeur,1818
1951,Gruppo Bertone,Consumer goods,Automobiles,Milan,1912
1952,Gruppo Riva,Basic materials,Iron & steel,Milan,1954
1953,Gruppo TIM,Telecommunications,Mobile Telecommunications,Rome,1994
1954,Gucci,Consumer goods,Clothing & accessories,Florence,1921
1955,Guerciotti,Consumer goods,Recreational products,Milan,1964
1956,Gufram,Consumer goods,Furnishings,Cuneo,1966
1957,Hera Group,Utilities,Multiutilities,Bologna,2002
1958,Hitachi Rail Italy,Industrials,Commercial rail vehicles,Naples,2001
1959,I.DE.A Institute,Consumer goods,Automobiles,Turin,1978
1960,Illy,Consumer goods,Beverages,Trieste,1933
1961,Impresa Pizzarotti,Industrials,Heavy construction,Parma,1910
1962,Indesit Company,Consumer goods,Durable household products,Fabriano,1975
1963,Innocenti,Consumer goods,Automobiles,Milan,1947
1964,Intermarine,Industrials,Shipbuilding,Sarzana,1970
1965,Intesa Sanpaolo,Financials,Banks,Turin,2007
1966,Iride Bicycles,Consumer goods,Recreational products,Venice,1919
1967,Iso,Consumer goods,Automobiles,Bresso,1953
1968,Isotta Fraschini,Consumer goods,Automobiles,Milan,1900
1969,ITA Airways,Consumer services,Airlines,Rome,2020
1970,Italcementi,Industrials,Building materials & fixtures,Bergamo,1864
1971,Italdesign Giugiaro,Consumer goods,Automobiles,Moncalieri,1968
1972,Italjet,Consumer goods,Automobiles,Castel San Pietro Terme,1959
1973,Iveco,Industrials,Commercial vehicles & trucks,Turin,1975
1974,Kappa,Consumer goods,Clothing & accessories,Turin,1916
1975,Kiton,Consumer goods,Clothing & accessories,Naples,1956
1976,Krizia,Consumer goods,Clothing & accessories,Milan,1954
1977,Kuota,Consumer goods,Recreational products,Albiate,2001
1978,La Perla,Consumer goods,Clothing & accessories,Bologna,1954
1979,La Rinascente,Consumer services,Broadline retailers,Milan,1865
1980,La Sportiva,Consumer goods,Footwear,Ziano di Fiemme,1928
1981,Lagostina,Consumer goods,Durable household products,Omegna,1901
1982,Lamborghini,Consumer goods,Automobiles,Sant'Agata Bolognese,1963
1983,Lambretta,Consumer goods,Automobiles,Milan,1947
1984,Lancia,Consumer goods,Automobiles,Turin,1906
1985,Landi Renzo,Consumer goods,Auto parts,Cavriago,1954
1986,Lavazza,Consumer goods,Beverages,Turin,1895
1987,Laverda,Consumer goods,Automobiles,Breganze,1873
1988,Legea,Consumer goods,Clothing & accessories,Pompei,1993
1989,Leonardo S.p.A.,Industrials,Aerospace & defense,Rome,1948
1990,Livingston Energy Flight,Consumer services,Airlines,Milan,1992
1991,Loacker,Consumer goods,Food products,Ritten[7],1925
1992,Loro Piana,Consumer goods,Clothing & accessories,Quarona,1924
1993,Lotto Sport Italia,Consumer goods,Clothing & accessories,Treviso,1973
1994,Luigi Borrelli,Consumer goods,Clothing & accessories,Naples,1957
1995,Luxottica,Consumer goods,Clothing & accessories,Milan,1961
1996,Macron,Consumer goods,Clothing & accessories,Crespellano,1971
1997,Magneti Marelli,Consumer goods,Auto parts,Corbetta,1919
1998,Magni,Consumer goods,Automobiles,Samarate,1977
1999,Malaguti,Consumer goods,Automobiles,San Lazzaro di Savena,1930
2000,Mandarina Duck,Consumer goods,Clothing & accessories,Bologna,1977
2001,Manfrotto,Consumer goods,Recreational products,Cassola,1972
2002,Mapei,Industrials,Building materials & fixtures,Milan,1937
2003,Marni,Consumer goods,Clothing & accessories,Milan,1994
2004,Martini & Rossi,Consumer goods,Distillers & vintners,Turin,1863
2005,Marzocchi,Consumer goods,Recreational products,Bologna,1949
2006,Marzotto,Consumer goods,Clothing & accessories,Valdagno,1836
2007,Maserati,Consumer goods,Automobiles,Modena,1914
2008,Massimo Zanetti Beverage Group,Consumer goods,Beverages,Bologna,1973
2009,Max Mara,Consumer goods,Clothing & accessories,Reggio Emilia,1951
2010,MD Discount,Consumer services,Food retailers & wholesalers,Gricignano di Aversa,1994
2011,Mediobanca,Financials,Banks,Milan,1946
